No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Player-additional
66,Burton Lawless,24,G,14,6,253,6-4,Florida,11/1/1953,2,5,Dallas Cowboys / 2nd / 44th pick / 1975,LawlBu20
50,D.D. Lewis,32,RLB,14,12,225,6-1,Mississippi St.,10/16/1945,9,6,Dallas Cowboys / 6th / 159th pick / 1968,LewiD.20
79,Harvey Martin,27,RDE,14,14,260,6-5,Texas A&M-Commerce,11/16/1950,4,14,Dallas Cowboys / 3rd / 53rd pick / 1973,MartHa00
73,Ralph Neely,34,LT,14,14,265,6-6,Oklahoma,9/12/1943,12,9,Houston Oilers / 2nd / 15th pick / 1965 Baltimore Colts / 2nd / 28th pick / 1965,NeelRa00
44,Robert Newhouse,27,FB,14,14,209,5-10,Houston,1/9/1950,5,9,Dallas Cowboys / 2nd / 35th pick / 1972,NewhRo00
88,Drew Pearson,26,WR,14,14,184,6-0,Tulsa,1/12/1951,4,14,,PearDr00
26,Preston Pearson,32,RB,14,10,205,6-1,Illinois,1/17/1945,10,12,Baltimore Colts / 12th / 298th pick / 1967,PearPr00
75,Jethro Pugh,33,LDT,12,12,260,6-6,Elizabeth City St.,7/3/1944,12,6,Dallas Cowboys / 11th / 145th pick / 1965,PughJe20
64,Tom Rafferty,23,RG,14,14,256,6-3,Penn St.,8/2/1954,1,9,Dallas Cowboys / 4th / 119th pick / 1976,RaffTo20
20,Mel Renfro,36,CB,11,0,190,6-0,Oregon,12/30/1941,13,3,Dallas Cowboys / 2nd / 17th pick / 1964 Oakland Raiders / 10th / 79th pick / 1964,RenfMe00
83,Golden Richards,27,WR,14,13,181,6-1,HawaiiBYU,12/31/1950,4,4,Dallas Cowboys / 2nd / 46th pick / 1973,RichGo00
87,Jay Saldi,23,TE,14,1,225,6-3,South Carolina,10/8/1954,1,2,,SaldJa00
68,Herbert Scott,24,LG,11,10,254,6-2,Virginia Union,1/18/1953,2,6,Dallas Cowboys / 13th / 330th pick / 1975,ScotHe00
65,Dave Stalls,22,DE,11,0,250,6-5,Northern Colorado,9/19/1955,Rook,3,Dallas Cowboys / 7th / 191st pick / 1977,StalDa20
12,Roger Staubach,35,QB,14,14,197,6-3,New Mex. Mil. Inst.Navy,2/5/1942,8,17,Kansas City Chiefs / 16th / 122nd pick / 1964 Dallas Cowboys / 10th / 129th pick / 1964,StauRo00
46,Mark Washington,30,DB,13,4,188,5-10,Morgan St.,12/28/1947,7,3,Dallas Cowboys / 13th / 335th pick / 1970,WashMa20
41,Charlie Waters,29,SS,14,14,193,6-1,Clemson,9/10/1948,7,11,Dallas Cowboys / 3rd / 66th pick / 1970,WateCh00
11,Danny White,25,P,14,0,193,6-2,Arizona St.,2/9/1952,1,3,Dallas Cowboys / 3rd / 53rd pick / 1974,WhitDa01
54,Randy White,24,RDT,14,14,257,6-4,Maryland,1/15/1953,2,10,Dallas Cowboys / 1st / 2nd pick / 1975,WhitRa00
70,Rayfield Wright,32,T,2,0,255,6-6,Fort Valley St.,8/23/1945,10,1,Dallas Cowboys / 7th / 182nd pick / 1967,WrigRa01
,Team Total,26.4,,14,,222.8,6-2.5,,,3.9,,,-9999
