No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Player-additional
20,Goldie Sellers,27,DB,14,0,198,6-2,Grambling St.,1/9/1942,3,4,Denver Broncos / 8th / 66th pick / 1966 Chicago Bears / 20th / 302nd pick / 1966,SellGo20
1,Noland Smith,26,WR,6,0,154,5-5,Tennessee St.,10/20/1943,2,0,Kansas City Chiefs / 6th / 156th pick / 1967,SmitNo00
66,Bob Stein,21,LB,14,0,235,6-3,Minnesota,1/22/1948,Rook,5,Kansas City Chiefs / 5th / 126th pick / 1969,SteiBo20
3,Jan Stenerud,27,K,14,0,187,6-2,Montana St.,11/26/1942,2,8,Kansas City Chiefs / 3rd / 24th pick / 1966,stenejan01
88,Morris Stroud,23,TE,0,,255,6-10,Clark (GA),5/17/1946,Rook,0,Kansas City Chiefs / 3rd / 76th pick / 1969,StroMo00
89,Otis Taylor,27,WR,11,7,215,6-3,Prairie View A&M,8/11/1942,4,8,Kansas City Chiefs / 4th / 29th pick / 1965 Philadelphia Eagles / 15th / 203rd pick / 1965,TaylOt00
18,Emmitt Thomas,26,RCB,14,14,192,6-2,Bishop,6/3/1943,3,9,,ThomEm00
74,Gene Trosch,24,DE,13,0,277,6-7,Miami (FL),6/7/1945,2,4,Kansas City Chiefs / 1st / 24th pick / 1967,TrosGe20
77,Jim Tyrer,30,LT,14,14,280,6-6,Ohio St.,2/25/1939,8,12,Dallas Texans / 3rd / 22nd pick / 1961 Chicago Bears / 14th / 188th pick / 1961,TyreJi00
44,Jerrel Wilson,28,P,14,0,222,6-2,Southern Miss,10/4/1941,6,4,Kansas City Chiefs / 11th / 88th pick / 1963 Los Angeles Rams / 17th / 225th pick / 1963,WilsJe20
,Team Total,26.8,,14,,224.7,6-2.4,,,4.0,,,-9999
