No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Player-additional
54,Andy Headen,26,LB,15,0,240,6-5,Clemson,7/8/1960,3,2,New York Giants / 8th / 205th pick / 1983,HeadAn20
48,Kenny Hill,28,SS,16,16,194,6-0,Yale,7/25/1958,5,8,Oakland Raiders / 8th / 194th pick / 1980,HillKe20
15,Jeff Hostetler,25,QB,13,0,215,6-3,Penn St.West Virginia,4/22/1961,1,0,New York Giants / 3rd / 59th pick / 1984,HostJe00
74,Erik Howard,22,NT,8,2,275,6-4,Washington St.,11/12/1964,Rook,2,New York Giants / 2nd / 46th pick / 1986,HowaEr00
57,Byron Hunt,28,LB,16,0,238,6-5,SMU,12/17/1958,5,1,New York Giants / 9th / 224th pick / 1981,HuntBy20
88,Bobby Johnson,25,WR,16,12,170,5-11,Kansas,12/14/1961,2,6,,JohnBo00
68,Damian Johnson,24,G,16,0,290,6-5,Kansas St.,12/18/1962,Rook,1,,JohnDa20
52,Pepper Johnson,22,LB,16,0,250,6-3,Ohio St.,7/29/1964,Rook,2,New York Giants / 2nd / 51st pick / 1986,JohnPe01
59,Brian Johnston,24,C,4,0,275,6-3,North Carolina,11/26/1962,Rook,0,New York Giants / 3rd / 73rd pick / 1985,JohnBr22
51,Robbie Jones,27,LB,16,0,230,6-2,Alabama,12/25/1959,2,1,New York Giants / 12th / 309th pick / 1983,JoneRo20
43,Terry Kinard,27,FS,14,14,199,6-1,Clemson,11/24/1959,3,7,New York Giants / 1st / 10th pick / 1983,KinaTe00
5,Sean Landeta,24,P,16,0,215,6-0,Towson,1/6/1962,1,4,,LandSe20
46,Greg Lasker,22,DB,16,0,200,6-0,Arkansas,9/28/1964,Rook,1,New York Giants / 2nd / 53rd pick / 1986,LaskGr20
86,Lionel Manuel,24,WR,4,4,178,5-11,Pacific,4/13/1962,2,2,New York Giants / 7th / 171st pick / 1984,ManuLi00
70,Leonard Marshall,25,RDE,16,16,288,6-3,LSU,10/22/1961,3,16,New York Giants / 2nd / 37th pick / 1983,MarsLe00
75,George Martin,33,LDE,16,16,245,6-4,Oregon,2/16/1953,11,9,New York Giants / 11th / 262nd pick / 1975,MartGe20
80,Phil McConkey,29,WR,12,0,170,5-10,Navy,2/24/1957,2,3,,McCoPh00
87,Solomon Miller,22,WR,16,2,185,6-1,Utah St.,12/6/1964,Rook,2,New York Giants / 6th / 157th pick / 1986,MillSo00
20,Joe Morris,26,RB,15,15,195,5-7,Syracuse,9/15/1960,4,15,New York Giants / 2nd / 45th pick / 1982,MorrJo00
84,Zeke Mowatt,25,TE,16,5,238,6-3,Florida St.,3/5/1961,3,1,,MowaZe00
63,Karl Nelson,26,RT,16,16,285,6-6,Iowa St.,6/14/1960,2,8,New York Giants / 3rd / 70th pick / 1983,NelsKa20
65,Bart Oates,28,C,16,16,275,6-4,BYU,12/16/1958,1,8,,OateBa00
34,Elvis Patterson,26,LCB,15,7,193,5-11,Kansas,10/21/1960,2,4,,PattEl21
55,Gary Reasons,24,LILB,16,16,235,6-4,Northwestern St. (LA),2/18/1962,2,8,New York Giants / 4th / 105th pick / 1984,ReasGa20
66,William Roberts,24,T,16,0,291,6-5,Ohio St.,8/5/1962,2,1,New York Giants / 1st / 27th pick / 1984,RobeWi00
81,Stacy Robinson,24,WR,12,10,186,5-11,Prairie View A&MNorth Dakota St.,2/19/1962,1,5,New York Giants / 2nd / 46th pick / 1985,RobiSt00
22,Lee Rouson,24,RB,14,1,220,6-1,Colorado,10/18/1962,1,3,New York Giants / 8th / 213th pick / 1985,RousLe00
17,Jeff Rutledge,29,QB,16,0,195,6-1,Alabama,1/22/1957,7,0,Los Angeles Rams / 9th / 246th pick / 1979,RutlJe00
78,Jerome Sally,27,NT,16,1,267,6-3,Missouri,2/24/1959,4,2,,SallJe20
11,Phil Simms,31,QB,16,16,216,6-3,Morehead St.,11/3/1955,7,13,New York Giants / 1st / 7th pick / 1979,SimmPh00
56,Lawrence Taylor,27,ROLB,16,16,237,6-3,North Carolina,2/4/1959,5,17,New York Giants / 1st / 2nd pick / 1981,TaylLa00
12,Bob Thomas,34,K,1,0,178,5-10,Notre Dame,8/7/1952,11,0,Los Angeles Rams / 15th / 388th pick / 1974,thomabob01
83,Vince Warren,23,WR,4,0,180,6-0,San Diego St.,2/18/1963,Rook,0,New York Giants / 5th / 130th pick / 1986,WarrVi20
73,John Washington,23,DE,16,0,280,6-4,Oklahoma St.,2/20/1963,Rook,1,New York Giants / 3rd / 73rd pick / 1986,WashJo20
27,Herb Welch,25,DB,16,2,180,5-11,Cerritos (CA)UCLA,1/12/1961,1,3,New York Giants / 12th / 326th pick / 1985,WelcHe20
23,Perry Williams,25,RCB,16,16,203,6-2,North Carolina St.,5/12/1961,2,8,New York Giants / 7th / 178th pick / 1983,WillPe20
,Team Total,26,,16,,226.7,6-1.7,,,3.1,,,-9999
