No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Player-additional
80,Bob Long,25,FL,10,0,205,6-3,Wichita St.,6/16/1942,3,1,Green Bay Packers / 4th / 44th pick / 1964 San Diego Chargers / 10th / 74th pick / 1964,LongBo00
85,Max McGee,35,E,10,0,205,6-3,Tulane,7/16/1932,13,0,Green Bay Packers / 5th / 51st pick / 1954,McGeMa00
30,Chuck Mercein,24,RB,6,0,225,6-2,Yale,4/9/1943,2,1,New York Giants / 3rd / 31st pick / 1965 Buffalo Bills / 10th / 79th pick / 1965,MercCh00
66,Ray Nitschke,31,MLB,14,14,235,6-3,Illinois,12/29/1936,9,14,Green Bay Packers / 3rd / 36th pick / 1958,NitsRa00
22,Elijah Pitts,29,HB,8,8,204,6-1,Philander Smith,2/3/1938,6,4,Green Bay Packers / 13th / 180th pick / 1961,PittEl00
89,Dave Robinson,26,LLB,14,14,245,6-3,Penn St.,5/3/1941,4,16,Green Bay Packers / 1st / 14th pick / 1963 San Diego Chargers / 3rd / 17th pick / 1963,RobiDa00
45,John Rowser,23,DB,14,0,190,6-1,Michigan,4/24/1944,Rook,3,Green Bay Packers / 3rd / 78th pick / 1967,RowsJo20
76,Bob Skoronski,33,LT,14,13,249,6-3,Indiana,3/5/1934,11,6,Green Bay Packers / 5th / 56th pick / 1956,SkorBo00
15,Bart Starr,33,QB,14,12,197,6-1,Alabama,1/9/1934,11,8,Green Bay Packers / 17th / 200th pick / 1956,StarBa00
63,Fuzzy Thurston,34,G,9,0,247,6-1,Valparaiso,12/29/1933,9,3,Philadelphia Eagles / 5th / 54th pick / 1956,ThurFu20
73,Jim Weatherwax,24,DT,14,2,260,6-7,West Texas A&MLos Angeles St.,1/9/1943,1,3,San Diego Chargers / 5th / 38th pick / 1965 Green Bay Packers / 11th / 150th pick / 1965,WeatJi22
23,Travis Williams,21,RB,14,1,210,6-1,Arizona St.,1/14/1946,Rook,6,Green Bay Packers / 4th / 93rd pick / 1967,WillTr00
36,Ben Wilson,28,FB,14,6,225,6-0,USC,3/9/1939,4,5,Los Angeles Rams / 5th / 68th pick / 1962 San Diego Chargers / 28th / 224th pick / 1962,WilsBe00
24,Willie Wood,31,FS,14,14,190,5-10,USC,12/23/1936,7,11,,WoodWi00
72,Steve Wright,25,T,14,1,250,6-6,Alabama,7/17/1942,3,2,New York Jets / 8th / 59th pick / 1964 Green Bay Packers / 5th / 69th pick / 1964,WrigSt20
,Team Total,27.6,,14,,225.8,6-2.6,,,4.8,,,-9999
