No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Player-additional
14,Bill Musgrave,27,QB,0,0,199,6-2,Oregon,11/11/1967,3,0,Dallas Cowboys / 4th / 106th pick / 1991,MusgBi00
51,Ken Norton Jr.,28,RLB,16,16,254,6-2,UCLA,9/29/1966,6,6,Dallas Cowboys / 2nd / 41st pick / 1988,NortKe00
66,Bart Oates,36,C,16,15,275,6-4,BYU,12/16/1958,9,14,,OateBa00
53,Tony Peterson,22,LB,15,0,232,6-1,Notre Dame,1/23/1972,Rook,1,San Francisco 49ers / 5th / 153rd pick / 1994,PeteTo20
50,Gary Plummer,34,MLB,16,16,244,6-2,California,1/26/1960,8,6,,PlumGa20
75,Frank Pollack,27,T,12,4,285,6-5,Northern Arizona,11/5/1967,4,4,San Francisco 49ers / 6th / 165th pick / 1990,PollFr20
85,Ted Popson,28,TE,16,1,250,6-4,Portland St.,9/10/1966,Rook,2,New York Giants / 11th / 306th pick / 1991,PopsTe00
80,Jerry Rice,32,WR,16,16,200,6-2,Miss. Valley St.,10/13/1962,9,21,San Francisco 49ers / 1st / 16th pick / 1985,RiceJe00
21,Deion Sanders,27,RCB,14,12,195,6-1,Florida St.,8/9/1967,5,18,Atlanta Falcons / 1st / 5th pick / 1989,SandDe00
61,Jesse Sapolu,33,LG,13,13,271,6-4,Hawaii,3/10/1961,11,12,San Francisco 49ers / 11th / 289th pick / 1983,SapoJe00
88,Nate Singleton,26,WR,16,1,190,5-11,Grambling St.,7/5/1968,1,4,New York Giants / 11th / 292nd pick / 1992,SingNa00
99,Artie Smith,24,DE,2,0,296,6-5,Louisiana Tech,5/15/1970,1,0,San Francisco 49ers / 5th / 116th pick / 1993,SmitAr21
94,Dana Stubblefield,24,RDT,14,14,300,6-2,Kansas,11/14/1970,1,8,San Francisco 49ers / 1st / 26th pick / 1993,StubDa00
64,Ralph Tamm,28,G,1,1,280,6-4,West Chester,3/11/1966,4,1,New York Jets / 9th / 230th pick / 1988,TammRa20
82,John Taylor,32,WR,15,15,185,6-1,Delaware St.,3/31/1962,7,7,San Francisco 49ers / 3rd / 76th pick / 1986,TaylJo00
72,Mark Thomas,25,DE,9,0,272,6-5,North Carolina St.,5/6/1969,1,1,San Francisco 49ers / 4th / 89th pick / 1992,ThomMa20
27,Adam Walker,26,RB,8,0,210,6-1,Pittsburgh,6/7/1968,2,1,,WalkAd00
74,Steve Wallace,30,LT,15,15,285,6-4,Auburn,12/27/1964,8,11,San Francisco 49ers / 4th / 101st pick / 1986,WallSt00
32,Ricky Watters,25,RB,16,16,217,6-1,Notre Dame,4/7/1969,2,18,San Francisco 49ers / 2nd / 45th pick / 1991,WattRi00
10,Klaus Wilmsmeyer,27,P,16,0,210,6-2,Louisville,12/4/1967,2,2,Tampa Bay Buccaneers / 12th / 311th pick / 1992,WilmKl20
92,Troy Wilson,24,DE,11,0,257,6-4,Pittsburg St.,11/22/1970,1,1,San Francisco 49ers / 7th / 194th pick / 1993,WilsTr21
54,Lee Woodall,25,LLB,15,13,224,6-1,West Chester,10/31/1969,Rook,5,San Francisco 49ers / 6th / 182nd pick / 1994,WoodLe00
97,Bryant Young,22,LDT,16,16,291,6-3,Notre Dame,1/27/1972,Rook,7,San Francisco 49ers / 1st / 7th pick / 1994,YounBr00
8,Steve Young,33,QB,16,16,215,6-2,BYU,10/11/1961,9,22,Tampa Bay Buccaneers / 1st / 1st pick / 1984 Supp,YounSt00
,Team Total,27.2,,16,,239.3,6-2.3,,,3.9,,,-9999
